Wavelength (nm)	J19 abs e
280.00	22161
281.00	21901
282.00	21673
283.00	21452
284.00	21253
285.00	21028
286.00	20846
287.00	20666
288.00	20511
289.00	20384
290.00	20271
291.00	20186
292.00	20163
293.00	20182
294.00	20242
295.00	20364
296.00	20539
297.00	20773
298.00	21059
299.00	21395
300.00	21776
301.00	22195
302.00	22648
303.00	23127
304.00	23605
305.00	24095
306.00	24598
307.00	25118
308.00	25615
309.00	26092
310.00	26546
311.00	26982
312.00	27374
313.00	27752
314.00	28062
315.00	28367
316.00	28630
317.00	28836
318.00	29007
319.00	29158
320.00	29279
321.00	29313
322.00	29335
323.00	29296
324.00	29223
325.00	29111
326.00	28953
327.00	28761
328.00	28528
329.00	28249
330.00	27914
331.00	27578
332.00	27190
333.00	26790
334.00	26389
335.00	25970
336.00	25563
337.00	25132
338.00	24661
339.00	24231
340.00	23764
341.00	23293
342.00	22806
343.00	22316
344.00	21747
345.00	21166
346.00	20536
347.00	19887
348.00	19207
349.00	18474
350.00	17726
351.00	16963
352.00	16183
353.00	15414
354.00	14681
355.00	13960
356.00	13269
357.00	12674
358.00	12113
359.00	11566
360.00	11066
361.00	10614
362.00	10203
363.00	9818.8
364.00	9504.6
365.00	9232.7
366.00	8992.2
367.00	8780.1
368.00	8601.7
369.00	8459.7
370.00	8305.5
371.00	8232.3
372.00	8148.0
373.00	8108.9
374.00	8045.0
375.00	8001.4
376.00	7964.3
377.00	7949.0
378.00	7933.5
379.00	7943.6
380.00	7928.5
381.00	7927.8
382.00	7932.7
383.00	7934.0
384.00	7966.6
385.00	8002.0
386.00	7990.9
387.00	8035.7
388.00	8047.9
389.00	8085.6
390.00	8100.4
391.00	8106.2
392.00	8140.5
393.00	8165.4
394.00	8223.6
395.00	8222.5
396.00	8265.5
397.00	8263.4
398.00	8297.0
399.00	8302.9
400.00	8338.2
401.00	8343.1
402.00	8368.2
403.00	8406.4
404.00	8390.5
405.00	8385.9
406.00	8372.1
407.00	8400.9
408.00	8421.3
409.00	8384.5
410.00	8406.9
411.00	8358.0
412.00	8380.1
413.00	8340.8
414.00	8301.4
415.00	8278.1
416.00	8262.0
417.00	8220.9
418.00	8187.4
419.00	8157.2
420.00	8116.1
421.00	8057.3
422.00	8002.2
423.00	7962.5
424.00	7915.6
425.00	7853.5
426.00	7823.3
427.00	7771.3
428.00	7717.6
429.00	7691.5
430.00	7626.0
431.00	7586.5
432.00	7595.0
433.00	7572.4
434.00	7507.0
435.00	7502.8
436.00	7461.7
437.00	7432.8
438.00	7446.3
439.00	7436.0
440.00	7444.2
441.00	7443.0
442.00	7444.9
443.00	7462.6
444.00	7467.1
445.00	7504.8
446.00	7544.0
447.00	7546.6
448.00	7578.7
449.00	7627.1
450.00	7660.2
451.00	7732.0
452.00	7799.4
453.00	7859.3
454.00	7926.3
455.00	8009.5
456.00	8074.2
457.00	8173.2
458.00	8237.2
459.00	8368.1
460.00	8422.9
461.00	8570.0
462.00	8652.3
463.00	8803.4
464.00	8909.2
465.00	9023.7
466.00	9163.0
467.00	9323.5
468.00	9498.2
469.00	9629.2
470.00	9807.6
471.00	9938.7
472.00	10126
473.00	10304
474.00	10532
475.00	10692
476.00	10861
477.00	11072
478.00	11328
479.00	11550
480.00	11792
481.00	12032
482.00	12258
483.00	12524
484.00	12815
485.00	13179
486.00	13243
487.00	13524
488.00	13833
489.00	14130
490.00	14423
491.00	14701
492.00	15021
493.00	15307
494.00	15585
495.00	15893
496.00	16187
497.00	16497
498.00	16803
499.00	17127
500.00	17438
501.00	17736
502.00	18102
503.00	18420
504.00	18770
505.00	19102
506.00	19463
507.00	19813
508.00	20219
509.00	20588
510.00	20959
511.00	21366
512.00	21746
513.00	22159
514.00	22589
515.00	23096
516.00	23538
517.00	23993
518.00	24457
519.00	24946
520.00	25455
521.00	25975
522.00	26569
523.00	27104
524.00	27613
525.00	28232
526.00	28867
527.00	29474
528.00	30031
529.00	30681
530.00	31251
531.00	31938
532.00	32579
533.00	33233
534.00	33917
535.00	34637
536.00	35338
537.00	36043
538.00	36733
539.00	37470
540.00	38199
541.00	38977
542.00	39642
543.00	40374
544.00	41136
545.00	41857
546.00	42687
547.00	43498
548.00	44271
549.00	45022
550.00	45789
551.00	46614
552.00	47484
553.00	48172
554.00	49144
555.00	49952
556.00	50780
557.00	51627
558.00	52536
559.00	53388
560.00	54330
561.00	55185
562.00	56082
563.00	56968
564.00	57943
565.00	58886
566.00	59908
567.00	60849
568.00	61820
569.00	62817
570.00	63761
571.00	64787
572.00	65657
573.00	66682
574.00	67703
575.00	68581
576.00	69601
577.00	70611
578.00	71439
579.00	72381
580.00	73385
581.00	74363
582.00	75089
583.00	75883
584.00	76965
585.00	77680
586.00	78338
587.00	79238
588.00	79916
589.00	80538
590.00	81193
591.00	81814
592.00	82513
593.00	82991
594.00	83406
595.00	83816
596.00	84242
597.00	84601
598.00	84916
599.00	85264
600.00	85401
601.00	85617
602.00	85840
603.00	85923
604.00	85923
605.00	85987
606.00	86000
607.00	85996
608.00	85913
609.00	85824
610.00	85802
611.00	85635
612.00	85500
613.00	85364
614.00	85162
615.00	84987
616.00	84737
617.00	84505
618.00	84237
619.00	83963
620.00	83634
621.00	83303
622.00	83089
623.00	82673
624.00	82256
625.00	82007
626.00	81549
627.00	81127
628.00	80704
629.00	80142
630.00	79628
631.00	79136
632.00	78448
633.00	77711
634.00	77000
635.00	76277
636.00	75572
637.00	74868
638.00	74108
639.00	73361
640.00	72597
641.00	71706
642.00	70884
643.00	69568
644.00	68508
645.00	67460
646.00	66290
647.00	65092
648.00	63894
649.00	62568
650.00	61362
651.00	59870
652.00	58569
653.00	57098
654.00	55700
655.00	53945
656.00	52620
657.00	52101
658.00	50226
659.00	48512
660.00	47029
661.00	45457
662.00	44021
663.00	42574
664.00	41069
665.00	39577
666.00	38171
667.00	36738
668.00	35353
669.00	33986
670.00	32653
671.00	31372
672.00	30056
673.00	28790
674.00	27571
675.00	26389
676.00	25200
677.00	24091
678.00	22954
679.00	21894
680.00	20873
681.00	19879
682.00	18901
683.00	17975
684.00	17051
685.00	16199
686.00	15374
687.00	14595
688.00	13810
689.00	13057
690.00	12370
691.00	11720
692.00	11056
693.00	10428
694.00	9861.2
695.00	9289.5
696.00	8771.1
697.00	8273.1
698.00	7780.0
699.00	7333.2
700.00	6905.1
701.00	6493.9
702.00	6099.0
703.00	5725.4
704.00	5380.0
705.00	5039.7
706.00	4736.3
707.00	4444.4
708.00	4195.4
709.00	3935.6
710.00	3702.0
711.00	3453.5
712.00	3227.0
713.00	3035.1
714.00	2836.6
715.00	2668.1
716.00	2505.2
717.00	2340.0
718.00	2190.7
719.00	2073.8
720.00	1934.4
721.00	1795.4
722.00	1705.2
723.00	1607.3
724.00	1490.3
725.00	1391.4
726.00	1292.5
727.00	1226.6
728.00	1141.7
729.00	1081.4
730.00	1005.1
731.00	941.40
732.00	876.64
733.00	830.28
734.00	778.03
735.00	727.76
736.00	699.20
737.00	662.90
738.00	609.75
739.00	586.57
740.00	543.34
741.00	501.14
742.00	499.72
743.00	468.90
744.00	412.16
745.00	426.94
746.00	373.08
747.00	376.19
748.00	370.29
749.00	339.42
750.00	322.19
751.00	290.57
752.00	276.31
753.00	273.90
754.00	262.53
755.00	247.66
756.00	217.21
757.00	215.66
758.00	202.96
759.00	173.41
760.00	194.13
761.00	181.58
762.00	157.83
763.00	185.92
764.00	160.29
765.00	157.88
766.00	143.77
767.00	127.01
768.00	144.38
769.00	131.54
770.00	132.53
771.00	137.30
772.00	113.65
773.00	102.42
774.00	103.12
775.00	117.43
776.00	84.668
777.00	101.38
778.00	108.60
779.00	111.01
780.00	107.99
781.00	100.20
782.00	92.409
783.00	86.226
784.00	86.273
785.00	89.200
786.00	90.899
787.00	92.457
788.00	71.687
789.00	59.792
790.00	66.920
791.00	76.691
792.00	70.035
793.00	79.523
794.00	71.876
795.00	81.836
796.00	54.836
797.00	62.908
798.00	55.497
799.00	59.179
800.00	76.880
